Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Circle,-4.96667,0,0,2,0,0
0,1,Circle,4.96667,0,0,-2,0,0
1,0,Circle,-4.93333,0,0,2,0,0
1,1,Circle,4.93333,0,0,-2,0,0
2,0,Circle,-4.9,0,0,2,0,0
2,1,Circle,4.9,0,0,-2,0,0
3,0,Circle,-4.86667,0,0,2,0,0
3,1,Circle,4.86667,0,0,-2,0,0
4,0,Circle,-4.83333,0,0,2,0,0
4,1,Circle,4.83333,0,0,-2,0,0
5,0,Circle,-4.8,0,0,2,0,0
5,1,Circle,4.8,0,0,-2,0,0
6,0,Circle,-4.76667,0,0,2,0,0
6,1,Circle,4.76667,0,0,-2,0,0
7,0,Circle,-4.73333,0,0,2,0,0
7,1,Circle,4.73333,0,0,-2,0,0
8,0,Circle,-4.7,0,0,2,0,0
8,1,Circle,4.7,0,0,-2,0,0
9,0,Circle,-4.66667,0,0,2,0,0
9,1,Circle,4.66667,0,0,-2,0,0
10,0,Circle,-4.63333,0,0,2,0,0
10,1,Circle,4.63333,0,0,-2,0,0
11,0,Circle,-4.6,0,0,2,0,0
11,1,Circle,4.6,0,0,-2,0,0
12,0,Circle,-4.56667,0,0,2,0,0
12,1,Circle,4.56667,0,0,-2,0,0
13,0,Circle,-4.53333,0,0,2,0,0
13,1,Circle,4.53333,0,0,-2,0,0
14,0,Circle,-4.5,0,0,2,0,0
14,1,Circle,4.5,0,0,-2,0,0
15,0,Circle,-4.46667,0,0,2,0,0
15,1,Circle,4.46667,0,0,-2,0,0
16,0,Circle,-4.43333,0,0,2,0,0
16,1,Circle,4.43333,0,0,-2,0,0
17,0,Circle,-4.4,0,0,2,0,0
17,1,Circle,4.4,0,0,-2,0,0
18,0,Circle,-4.36667,0,0,2,0,0
18,1,Circle,4.36667,0,0,-2,0,0
19,0,Circle,-4.33333,0,0,2,0,0
19,1,Circle,4.33333,0,0,-2,0,0
20,0,Circle,-4.3,0,0,2,0,0
20,1,Circle,4.3,0,0,-2,0,0
21,0,Circle,-4.26667,0,0,2,0,0
21,1,Circle,4.26667,0,0,-2,0,0
22,0,Circle,-4.23333,0,0,2,0,0
22,1,Circle,4.23333,0,0,-2,0,0
23,0,Circle,-4.2,0,0,2,0,0
23,1,Circle,4.2,0,0,-2,0,0
24,0,Circle,-4.16667,0,0,2,0,0
24,1,Circle,4.16667,0,0,-2,0,0
25,0,Circle,-4.13333,0,0,2,0,0
25,1,Circle,4.13333,0,0,-2,0,0
26,0,Circle,-4.1,0,0,2,0,0
26,1,Circle,4.1,0,0,-2,0,0
27,0,Circle,-4.06667,0,0,2,0,0
27,1,Circle,4.06667,0,0,-2,0,0
28,0,Circle,-4.03333,0,0,2,0,0
28,1,Circle,4.03333,0,0,-2,0,0
29,0,Circle,-4,0,0,2,0,0
29,1,Circle,4,0,0,-2,0,0
30,0,Circle,-3.96667,0,0,2,0,0
30,1,Circle,3.96667,0,0,-2,0,0
31,0,Circle,-3.93333,0,0,2,0,0
31,1,Circle,3.93333,0,0,-2,0,0
32,0,Circle,-3.9,0,0,2,0,0
32,1,Circle,3.9,0,0,-2,0,0
33,0,Circle,-3.86667,0,0,2,0,0
33,1,Circle,3.86667,0,0,-2,0,0
34,0,Circle,-3.83333,0,0,2,0,0
34,1,Circle,3.83333,0,0,-2,0,0
35,0,Circle,-3.8,0,0,2,0,0
35,1,Circle,3.8,0,0,-2,0,0
36,0,Circle,-3.76667,0,0,2,0,0
36,1,Circle,3.76667,0,0,-2,0,0
37,0,Circle,-3.73333,0,0,2,0,0
37,1,Circle,3.73333,0,0,-2,0,0
38,0,Circle,-3.7,0,0,2,0,0
38,1,Circle,3.7,0,0,-2,0,0
39,0,Circle,-3.66667,0,0,2,0,0
39,1,Circle,3.66667,0,0,-2,0,0
40,0,Circle,-3.63333,0,0,2,0,0
40,1,Circle,3.63333,0,0,-2,0,0
41,0,Circle,-3.6,0,0,2,0,0
41,1,Circle,3.6,0,0,-2,0,0
42,0,Circle,-3.56667,0,0,2,0,0
42,1,Circle,3.56667,0,0,-2,0,0
43,0,Circle,-3.53333,0,0,2,0,0
43,1,Circle,3.53333,0,0,-2,0,0
44,0,Circle,-3.5,0,0,2,0,0
44,1,Circle,3.5,0,0,-2,0,0
45,0,Circle,-3.46667,0,0,2,0,0
45,1,Circle,3.46667,0,0,-2,0,0
46,0,Circle,-3.43333,0,0,2,0,0
46,1,Circle,3.43333,0,0,-2,0,0
47,0,Circle,-3.4,0,0,2,0,0
47,1,Circle,3.4,0,0,-2,0,0
48,0,Circle,-3.36667,0,0,2,0,0
48,1,Circle,3.36667,0,0,-2,0,0
49,0,Circle,-3.33333,0,0,2,0,0
49,1,Circle,3.33333,0,0,-2,0,0
50,0,Circle,-3.3,0,0,2,0,0
50,1,Circle,3.3,0,0,-2,0,0
51,0,Circle,-3.26667,0,0,2,0,0
51,1,Circle,3.26667,0,0,-2,0,0
52,0,Circle,-3.23334,0,0,2,0,0
52,1,Circle,3.23334,0,0,-2,0,0
53,0,Circle,-3.2,0,0,2,0,0
53,1,Circle,3.2,0,0,-2,0,0
54,0,Circle,-3.16667,0,0,2,0,0
54,1,Circle,3.16667,0,0,-2,0,0
55,0,Circle,-3.13334,0,0,2,0,0
55,1,Circle,3.13334,0,0,-2,0,0
56,0,Circle,-3.1,0,0,2,0,0
56,1,Circle,3.1,0,0,-2,0,0
57,0,Circle,-3.06667,0,0,2,0,0
57,1,Circle,3.06667,0,0,-2,0,0
58,0,Circle,-3.03334,0,0,2,0,0
58,1,Circle,3.03334,0,0,-2,0,0
59,0,Circle,-3,0,0,2,0,0
59,1,Circle,3,0,0,-2,0,0
60,0,Circle,-2.96667,0,0,2,0,0
60,1,Circle,2.96667,0,0,-2,0,0
61,0,Circle,-2.93334,0,0,2,0,0
61,1,Circle,2.93334,0,0,-2,0,0
62,0,Circle,-2.9,0,0,2,0,0
62,1,Circle,2.9,0,0,-2,0,0
63,0,Circle,-2.86667,0,0,2,0,0
63,1,Circle,2.86667,0,0,-2,0,0
64,0,Circle,-2.83334,0,0,2,0,0
64,1,Circle,2.83334,0,0,-2,0,0
65,0,Circle,-2.8,0,0,2,0,0
65,1,Circle,2.8,0,0,-2,0,0
66,0,Circle,-2.76667,0,0,2,0,0
66,1,Circle,2.76667,0,0,-2,0,0
67,0,Circle,-2.73334,0,0,2,0,0
67,1,Circle,2.73334,0,0,-2,0,0
68,0,Circle,-2.7,0,0,2,0,0
68,1,Circle,2.7,0,0,-2,0,0
69,0,Circle,-2.66667,0,0,2,0,0
69,1,Circle,2.66667,0,0,-2,0,0
70,0,Circle,-2.63334,0,0,2,0,0
70,1,Circle,2.63334,0,0,-2,0,0
71,0,Circle,-2.6,0,0,2,0,0
71,1,Circle,2.6,0,0,-2,0,0
72,0,Circle,-2.56667,0,0,2,0,0
72,1,Circle,2.56667,0,0,-2,0,0
73,0,Circle,-2.53334,0,0,2,0,0
73,1,Circle,2.53334,0,0,-2,0,0
74,0,Circle,-2.5,0,0,2,0,0
74,1,Circle,2.5,0,0,-2,0,0
75,0,Circle,-2.46667,0,0,2,0,0
75,1,Circle,2.46667,0,0,-2,0,0
76,0,Circle,-2.43334,0,0,2,0,0
76,1,Circle,2.43334,0,0,-2,0,0
77,0,Circle,-2.4,0,0,2,0,0
77,1,Circle,2.4,0,0,-2,0,0
78,0,Circle,-2.36667,0,0,2,0,0
78,1,Circle,2.36667,0,0,-2,0,0
79,0,Circle,-2.33334,0,0,2,0,0
79,1,Circle,2.33334,0,0,-2,0,0
80,0,Circle,-2.3,0,0,2,0,0
80,1,Circle,2.3,0,0,-2,0,0
81,0,Circle,-2.26667,0,0,2,0,0
81,1,Circle,2.26667,0,0,-2,0,0
82,0,Circle,-2.23334,0,0,2,0,0
82,1,Circle,2.23334,0,0,-2,0,0
83,0,Circle,-2.2,0,0,2,0,0
83,1,Circle,2.2,0,0,-2,0,0
84,0,Circle,-2.16667,0,0,2,0,0
84,1,Circle,2.16667,0,0,-2,0,0
85,0,Circle,-2.13334,0,0,2,0,0
85,1,Circle,2.13334,0,0,-2,0,0
86,0,Circle,-2.1,0,0,2,0,0
86,1,Circle,2.1,0,0,-2,0,0
87,0,Circle,-2.06667,0,0,2,0,0
87,1,Circle,2.06667,0,0,-2,0,0
88,0,Circle,-2.03334,0,0,2,0,0
88,1,Circle,2.03334,0,0,-2,0,0
89,0,Circle,-2,0,0,2,0,0
89,1,Circle,2,0,0,-2,0,0
90,0,Circle,-1.96667,0,0,2,0,0
90,1,Circle,1.96667,0,0,-2,0,0
91,0,Circle,-1.93334,0,0,2,0,0
91,1,Circle,1.93334,0,0,-2,0,0
92,0,Circle,-1.9,0,0,2,0,0
92,1,Circle,1.9,0,0,-2,0,0
93,0,Circle,-1.86667,0,0,2,0,0
93,1,Circle,1.86667,0,0,-2,0,0
94,0,Circle,-1.83334,0,0,2,0,0
94,1,Circle,1.83334,0,0,-2,0,0
95,0,Circle,-1.8,0,0,2,0,0
95,1,Circle,1.8,0,0,-2,0,0
96,0,Circle,-1.76667,0,0,2,0,0
96,1,Circle,1.76667,0,0,-2,0,0
97,0,Circle,-1.73334,0,0,2,0,0
97,1,Circle,1.73334,0,0,-2,0,0
98,0,Circle,-1.7,0,0,2,0,0
98,1,Circle,1.7,0,0,-2,0,0
99,0,Circle,-1.66667,0,0,2,0,0
99,1,Circle,1.66667,0,0,-2,0,0
100,0,Circle,-1.63334,0,0,2,0,0
100,1,Circle,1.63334,0,0,-2,0,0
101,0,Circle,-1.6,0,0,2,0,0
101,1,Circle,1.6,0,0,-2,0,0
102,0,Circle,-1.56667,0,0,2,0,0
102,1,Circle,1.56667,0,0,-2,0,0
103,0,Circle,-1.53334,0,0,2,0,0
103,1,Circle,1.53334,0,0,-2,0,0
104,0,Circle,-1.5,0,0,2,0,0
104,1,Circle,1.5,0,0,-2,0,0
105,0,Circle,-1.46667,0,0,2,0,0
105,1,Circle,1.46667,0,0,-2,0,0
106,0,Circle,-1.43334,0,0,2,0,0
106,1,Circle,1.43334,0,0,-2,0,0
107,0,Circle,-1.4,0,0,2,0,0
107,1,Circle,1.4,0,0,-2,0,0
108,0,Circle,-1.36667,0,0,2,0,0
108,1,Circle,1.36667,0,0,-2,0,0
109,0,Circle,-1.33334,0,0,2,0,0
109,1,Circle,1.33334,0,0,-2,0,0
110,0,Circle,-1.3,0,0,2,0,0
110,1,Circle,1.3,0,0,-2,0,0
111,0,Circle,-1.26667,0,0,2,0,0
111,1,Circle,1.26667,0,0,-2,0,0
112,0,Circle,-1.23334,0,0,2,0,0
112,1,Circle,1.23334,0,0,-2,0,0
113,0,Circle,-1.2,0,0,2,0,0
113,1,Circle,1.2,0,0,-2,0,0
114,0,Circle,-1.16667,0,0,2,0,0
114,1,Circle,1.16667,0,0,-2,0,0
115,0,Circle,-1.13334,0,0,2,0,0
115,1,Circle,1.13334,0,0,-2,0,0
116,0,Circle,-1.1,0,0,2,0,0
116,1,Circle,1.1,0,0,-2,0,0
117,0,Circle,-1.06667,0,0,2,0,0
117,1,Circle,1.06667,0,0,-2,0,0
118,0,Circle,-1.03334,0,0,2,0,0
118,1,Circle,1.03334,0,0,-2,0,0
119,0,Circle,-1,0,0,2,0,0
119,1,Circle,1,0,0,-2,0,0
