Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,0,0,0,0,0
0,1,Box,0,0.997278,0,0,-0.163333,0
1,0,Box,0,0,0,0,0,0
1,1,Box,4.24242e-05,0.992045,-0.00305524,0.00254545,-0.313939,-0.183314
2,0,Box,0,0,0,0,0,0
2,1,Box,-0.000689784,0.987964,-0.0153634,-0.0439325,-0.244883,-0.738491
3,0,Box,0,0,0,0,0,0
3,1,Box,-0.00151304,0.981616,-0.0287389,-0.0493957,-0.380901,-0.80253
4,0,Box,0,0,0,0,0,0
4,1,Box,-0.00265668,0.981674,-0.0457916,-0.068618,-0.448122,-1.02316
5,0,Box,0,0,0,0,0,0
5,1,Box,-0.00406235,0.985207,-0.0657695,-0.0843402,-0.532844,-1.19868
6,0,Box,0,0,0,0,0,0
6,1,Box,-0.00576656,0.991041,-0.0889691,-0.102253,-0.606614,-1.39197
7,0,Box,0,0,0,0,0,0
7,1,Box,-0.00778081,0.998603,-0.115378,-0.120855,-0.676938,-1.58456
8,0,Box,0,0,0,0,0,0
8,1,Box,-0.01013,1.00765,-0.145086,-0.140948,-0.739804,-1.78244
9,0,Box,0,0,0,0,0,0
9,1,Box,-0.0128416,1.01804,-0.178154,-0.162698,-0.794391,-1.98409
10,0,Box,0,0,0,0,0,0
10,1,Box,-0.0159508,1.02966,-0.214649,-0.186552,-0.838452,-2.18972
11,0,Box,0,0,0,0,0,0
11,1,Box,-0.0195005,1.04239,-0.254621,-0.212985,-0.869623,-2.39829
12,0,Box,0,0,0,0,0,0
12,1,Box,-0.0235436,1.0561,-0.298085,-0.242584,-0.884958,-2.60783
13,0,Box,0,0,0,0,0,0
13,1,Box,-0.0281441,1.07063,-0.344996,-0.276031,-0.881059,-2.81468
14,0,Box,0,0,0,0,0,0
14,1,Box,-0.0333786,1.0858,-0.395208,-0.31407,-0.854194,-3.01269
15,0,Box,0,0,0,0,0,0
15,1,Box,-0.0393357,1.10135,-0.448414,-0.357425,-0.800755,-3.1924
16,0,Box,0,0,0,0,0,0
16,1,Box,-0.0461125,1.11697,-0.504088,-0.406607,-0.718178,-3.34043
17,0,Box,0,0,0,0,0,0
17,1,Box,-0.0538061,1.13227,-0.561425,-0.46162,-0.606447,-3.44018
18,0,Box,0,0,0,0,0,0
18,1,Box,-0.0624993,1.14674,-0.619336,-0.521592,-0.469921,-3.47466
19,0,Box,0,0,0,0,0,0
19,1,Box,-0.0722421,1.15982,-0.676535,-0.584565,-0.318387,-3.43198
20,0,Box,0,0,0,0,0,0
20,1,Box,-0.0830378,1.17092,-0.731721,-0.647744,-0.165823,-3.31114
21,0,Box,0,0,0,0,0,0
21,1,Box,-0.0948426,1.17958,-0.78378,-0.708284,-0.0264588,-3.12356
22,0,Box,0,0,0,0,0,0
22,1,Box,-0.107578,1.18559,-0.831921,-0.764149,0.0895338,-2.88846
23,0,Box,0,0,0,0,0,0
23,1,Box,-0.121153,1.189,-0.875682,-0.814459,0.177748,-2.62561
24,0,Box,0,0,0,0,0,0
24,1,Box,-0.135474,1.19298,-0.914859,-0.859259,0.238417,-2.35063
25,0,Box,0,0,0,0,0,0
25,1,Box,-0.150459,1.19755,-0.949422,-0.899116,0.274367,-2.0738
26,0,Box,0,0,0,0,0,0
26,1,Box,-0.166039,1.20237,-0.979438,-0.934787,0.289387,-1.80093
27,0,Box,0,0,0,0,0,0
27,1,Box,-0.181618,1.20447,-1.00945,-0.934787,0.126054,-1.80093
28,0,Box,0,0,0,0,0,0
28,1,Box,-0.197198,1.20385,-1.03947,-0.934787,-0.0372797,-1.80093
29,0,Box,0,0,0,0,0,0
29,1,Box,-0.212778,1.20051,-1.06948,-0.934787,-0.200613,-1.80093
30,0,Box,0,0,0,0,0,0
30,1,Box,-0.228358,1.19444,-1.0995,-0.934787,-0.363946,-1.80093
31,0,Box,0,0,0,0,0,0
31,1,Box,-0.243938,1.18565,-1.12951,-0.934787,-0.52728,-1.80093
32,0,Box,0,0,0,0,0,0
32,1,Box,-0.259517,1.17414,-1.15953,-0.934787,-0.690613,-1.80093
33,0,Box,0,0,0,0,0,0
33,1,Box,-0.275097,1.15991,-1.18955,-0.934787,-0.853946,-1.80093
34,0,Box,0,0,0,0,0,0
34,1,Box,-0.290677,1.14296,-1.21956,-0.934787,-1.01728,-1.80093
35,0,Box,0,0,0,0,0,0
35,1,Box,-0.306257,1.12328,-1.24958,-0.934787,-1.18061,-1.80093
36,0,Box,0,0,0,0,0,0
36,1,Box,-0.31942,1.11296,-1.29337,-0.789808,-0.619052,-2.62777
37,0,Box,0,0,0,0,0,0
37,1,Box,-0.332584,1.09992,-1.33717,-0.789808,-0.782385,-2.62777
38,0,Box,0,0,0,0,0,0
38,1,Box,-0.345747,1.08416,-1.38097,-0.789808,-0.945718,-2.62777
39,0,Box,0,0,0,0,0,0
39,1,Box,-0.358739,1.06653,-1.4262,-0.779516,-1.0576,-2.71409
40,0,Box,0,0,0,0,0,0
40,1,Box,-0.371553,1.04707,-1.47308,-0.768863,-1.16766,-2.81296
41,0,Box,0,0,0,0,0,0
