Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,-1,0,0,0,0
0,1,Box,0,0.497278,0,0,-0.163333,0
0,2,Box,0,1.49728,0,0,-0.163333,0
0,3,Box,0,2.49728,0,0,-0.163333,0
0,4,Box,0,3.49728,0,0,-0.163333,0
0,5,Box,0,4.49728,0,0,-0.163333,0
0,6,Box,0,5.49728,0,0,-0.163333,0
0,7,Box,0,6.49728,0,0,-0.163333,0
0,8,Box,0,7.49728,0,0,-0.163333,0
0,9,Box,0,8.49728,0,0,-0.163333,0
0,10,Box,0,9.49728,0,0,-0.163333,0
0,11,Box,0,10.4973,0,0,-0.163333,0
0,12,Box,0,11.4973,0,0,-0.163333,0
0,13,Box,0,12.4973,0,0,-0.163333,0
0,14,Box,0,13.4973,0,0,-0.163333,0
0,15,Box,0,14.4973,0,0,-0.163333,0
5,0,Box,0,-1,0,0,0,0
5,1,Box,0.00131006,0.49663,-0.000726939,0.023427,-0.00750879,-0.0128952
5,2,Box,-0.00182009,1.48221,0.0105218,-0.0688316,-0.168235,0.258838
5,3,Box,-0.0130933,2.47898,0.0177069,-0.341509,-0.23542,0.420237
5,4,Box,0.00307783,3.45785,-0.00109583,0.0693313,-0.615002,-0.0398528
5,5,Box,0.00379346,4.45655,0.000708931,0.0979304,-0.653325,0.0210515
5,6,Box,0.00188159,5.45245,0.00132131,0.0687964,-0.675233,0.0483855
5,7,Box,0.000286646,6.44785,0.000920818,0.0171988,-0.6787,0.0552491
5,8,Box,0,7.44283,0,0,-0.98,0
5,9,Box,0,8.44283,0,0,-0.98,0
5,10,Box,0,9.44283,0,0,-0.98,0
5,11,Box,0,10.4428,0,0,-0.98,0
5,12,Box,0,11.4428,0,0,-0.98,0
5,13,Box,0,12.4428,0,0,-0.98,0
5,14,Box,0,13.4428,0,0,-0.98,0
5,15,Box,0,14.4428,0,0,-0.98,0
10,0,Box,0,-1,0,0,0,0
10,1,Box,0.00293859,0.484424,-0.00165791,0.0175271,-0.00517548,-0.0101955
10,2,Box,-0.0139886,1.46777,0.0437114,-0.200721,-0.223572,0.485368
10,3,Box,-0.059509,2.43565,0.0683665,-0.683653,-0.333764,0.719724
10,4,Box,0.0112747,3.41549,-0.00528343,0.109187,-0.935325,-0.0658792
10,5,Box,0.0153873,4.38782,0.00886262,0.165283,-1.00079,0.111954
10,6,Box,0.00490992,5.37606,0.0190568,0.0478966,-1.05524,0.256301
10,7,Box,0.00929619,6.35853,0.00965284,0.163926,-1.24192,0.129496
