Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,0,0,0,0,0
0,1,Box,-3,0,0,120,0,0
1,0,Box,0,0,0,0,0,0
1,1,Box,-1.505,0,0,120,0,0
2,0,Box,0,0,0,0,0,0
2,1,Box,1.083,0,0,120,0,0
3,0,Box,0,0,0,0,0,0
3,1,Box,3.083,0,0,120,0,0
4,0,Box,0,0,0,0,0,0
4,1,Box,5.083,0,0,120,0,0
5,0,Box,0,0,0,0,0,0
5,1,Box,7.083,0,0,120,0,0
6,0,Box,0,0,0,0,0,0
6,1,Box,9.083,0,0,120,0,0
7,0,Box,0,0,0,0,0,0
7,1,Box,11.083,0,0,120,0,0
8,0,Box,0,0,0,0,0,0
8,1,Box,13.083,0,0,120,0,0
9,0,Box,0,0,0,0,0,0
9,1,Box,15.083,0,0,120,0,0
