Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,0,0,0,0,0
0,1,Box,-5,0,0,300,0,0
1,0,Box,0,0,0,0,0,0
1,1,Box,-0.375,0,0,-65.6775,-16.8645,262.681
2,0,Box,0,0,0,0,0,0
2,1,Box,-1.49363,-0.281075,4.37802,0.392662,-21.7292,12.636
3,0,Box,0,0,0,0,0,0
3,1,Box,-1.51108,-0.643228,4.58862,3.33486,-21.1407,9.40108
4,0,Box,0,0,0,0,0,0
4,1,Box,-1.4795,-0.995574,4.74531,3.78359,-21.051,5.04505
5,0,Box,0,0,0,0,0,0
5,1,Box,-1.44044,-1.34642,4.82939,3.86652,-21.0344,3.5261
6,0,Box,0,0,0,0,0,0
6,1,Box,-1.4,-1.697,4.88816,3.89745,-21.0282,2.69347
7,0,Box,0,0,0,0,0,0
7,1,Box,-1.35904,-2.04747,4.93305,3.912,-21.0253,2.1764
8,0,Box,0,0,0,0,0,0
8,1,Box,-1.31784,-2.39789,4.96932,3.91996,-21.0237,1.82503
9,0,Box,0,0,0,0,0,0
9,1,Box,-1.27651,-2.74828,4.99974,3.92478,-21.0227,1.57099
10,0,Box,0,0,0,0,0,0
10,1,Box,-1.2351,-3.09866,5.02592,3.92791,-21.0221,1.37886
11,0,Box,0,0,0,0,0,0
11,1,Box,-1.19363,-3.44903,5.0489,3.93006,-21.0217,1.22852
12,0,Box,0,0,0,0,0,0
12,1,Box,-1.15213,-3.79939,5.06938,3.9316,-21.0214,1.10768
13,0,Box,0,0,0,0,0,0
13,1,Box,-1.1106,-4.14975,5.08784,3.93274,-21.0212,1.00846
14,0,Box,0,0,0,0,0,0
14,1,Box,-1.06906,-4.5001,5.10465,3.9336,-21.021,0.925531
15,0,Box,0,0,0,0,0,0
15,1,Box,-1.0275,-4.85045,5.12007,3.93428,-21.0208,0.855193
16,0,Box,0,0,0,0,0,0
16,1,Box,-0.985926,-5.2008,5.13433,3.93481,-21.0207,0.794783
17,0,Box,0,0,0,0,0,0
17,1,Box,-0.944346,-5.55114,5.14757,3.93524,-21.0207,0.742338
18,0,Box,0,0,0,0,0,0
18,1,Box,-0.902758,-5.90149,5.15995,3.93559,-21.0206,0.696382
19,0,Box,0,0,0,0,0,0
19,1,Box,-0.861165,-6.25183,5.17155,3.93589,-21.0205,0.655781
