Time,Pos_X,Pos_Y,Vel_X,Vel_Y,Angle
0,0,10,2,0,0
0.0166667,0.0333333,9.99728,2,-0.163333,0
0.0333333,0.0666667,9.99183,2,-0.326667,0
0.05,0.1,9.98367,2,-0.49,0
0.0666667,0.133333,9.97278,2,-0.653333,0
0.0833333,0.166667,9.95917,2,-0.816667,0
0.1,0.2,9.94283,2,-0.98,0
0.116667,0.233333,9.92378,2,-1.14333,0
0.133333,0.266667,9.902,2,-1.30667,0
0.15,0.3,9.8775,2,-1.47,0
0.166667,0.333333,9.85028,2,-1.63333,0
0.183333,0.366667,9.82033,2,-1.79667,0
0.2,0.4,9.78767,2,-1.96,0
0.216667,0.433333,9.75228,2,-2.12333,0
0.233333,0.466667,9.71417,2,-2.28667,0
0.25,0.5,9.67333,2,-2.45,0
0.266667,0.533333,9.62978,2,-2.61333,0
0.283333,0.566667,9.5835,2,-2.77667,0
0.3,0.6,9.5345,2,-2.94,0
0.316667,0.633333,9.48278,2,-3.10333,0
0.333333,0.666667,9.42833,2,-3.26667,0
0.35,0.7,9.37117,2,-3.43,0
0.366667,0.733334,9.31128,2,-3.59333,0
0.383333,0.766667,9.24867,2,-3.75667,0
0.4,0.8,9.18333,2,-3.92,0
0.416667,0.833334,9.11528,2,-4.08333,0
0.433333,0.866667,9.0445,2,-4.24667,0
0.45,0.9,8.971,2,-4.41,0
0.466667,0.933334,8.89478,2,-4.57333,0
0.483334,0.966667,8.81583,2,-4.73667,0
0.5,1,8.73417,2,-4.9,0
0.516667,1.03333,8.64978,2,-5.06333,0
0.533333,1.06667,8.56267,2,-5.22667,0
0.55,1.1,8.47283,2,-5.39,0
0.566667,1.13333,8.38028,2,-5.55333,0
0.583333,1.16667,8.285,2,-5.71667,0
0.6,1.2,8.187,2,-5.88,0
0.616667,1.23333,8.08628,2,-6.04333,0
0.633333,1.26667,7.98283,2,-6.20667,0
0.65,1.3,7.87667,2,-6.37,0
0.666667,1.33333,7.76778,2,-6.53334,0
0.683333,1.36667,7.65617,2,-6.69667,0
0.7,1.4,7.54183,2,-6.86,0
0.716667,1.43333,7.42478,2,-7.02334,0
0.733333,1.46667,7.305,2,-7.18667,0
0.75,1.5,7.1825,2,-7.35,0
0.766667,1.53333,7.05728,2,-7.51334,0
0.783333,1.56667,6.92933,2,-7.67667,0
0.8,1.6,6.79867,2,-7.84,0
0.816667,1.63333,6.66528,2,-8.00334,0
0.833333,1.66667,6.52917,2,-8.16667,0
0.85,1.7,6.39033,2,-8.33,0
0.866666,1.73333,6.24878,2,-8.49333,0
0.883333,1.76667,6.1045,2,-8.65667,0
0.9,1.8,5.9575,2,-8.82,0
0.916666,1.83333,5.80778,2,-8.98333,0
0.933333,1.86667,5.65533,2,-9.14667,0
0.95,1.9,5.50017,2,-9.31,0
0.966666,1.93333,5.34228,2,-9.47333,0
0.983333,1.96667,5.18167,2,-9.63667,0
1,2,5.01833,2,-9.8,0
1.01667,2.03333,4.85228,2,-9.96333,0
1.03333,2.06667,4.6835,2,-10.1267,0
1.05,2.1,4.512,2,-10.29,0
1.06667,2.13333,4.33778,2,-10.4533,0
1.08333,2.16667,4.16083,2,-10.6167,0
1.1,2.2,3.98117,2,-10.78,0
1.11667,2.23333,3.79878,2,-10.9433,0
1.13333,2.26667,3.61367,2,-11.1067,0
1.15,2.3,3.42583,2,-11.27,0
1.16667,2.33333,3.23528,2,-11.4333,0
1.18333,2.36667,3.042,2,-11.5967,0
1.2,2.4,2.846,2,-11.76,0
1.21667,2.43333,2.64728,2,-11.9233,0
1.23333,2.46667,2.44583,2,-12.0867,0
1.25,2.5,2.24167,2,-12.25,0
1.26667,2.53333,2.03478,2,-12.4133,0
1.28333,2.56667,1.82517,2,-12.5767,0
1.3,2.6,1.61283,2,-12.74,0
1.31667,2.63333,1.39778,2,-12.9033,0
1.33333,2.66667,1.18,2,-13.0667,0
1.35,2.7,0.959501,2,-13.23,0
1.36667,2.73333,0.736279,2,-13.3933,0
1.38333,2.76667,0.510335,2,-13.5567,0
1.4,2.8,0.281668,2,-13.72,0
1.41667,2.83333,0.0502797,2,-13.8833,0
1.43333,2.86667,-0.183831,2,-14.0467,0
1.45,2.9,-0.420664,2,-14.21,0
1.46667,2.93333,-0.66022,2,-14.3733,0
1.48333,2.96667,-0.902497,2,-14.5367,0
1.5,3,-1.1475,2,-14.7,0
1.51667,3.03333,-1.39522,2,-14.8633,0
1.53333,3.06667,-1.64566,2,-15.0267,0
1.55,3.1,-1.89883,2,-15.19,0
1.56667,3.13333,-2.15472,2,-15.3533,0
1.58333,3.16667,-2.41333,2,-15.5167,0
1.6,3.2,-2.67466,2,-15.68,0
1.61667,3.23333,-2.93872,2,-15.8433,0
1.63333,3.26666,-3.2055,2,-16.0067,0
1.65,3.3,-3.47499,2,-16.17,0
1.66667,3.33333,-3.74722,2,-16.3333,0
1.68333,3.36666,-4.02216,2,-16.4967,0
1.7,3.4,-4.29983,2,-16.66,0
1.71667,3.43333,-4.58022,2,-16.8233,0
1.73333,3.46666,-4.86333,2,-16.9867,0
1.75,3.5,-5.14916,2,-17.15,0
1.76667,3.53333,-5.43772,2,-17.3133,0
1.78333,3.56666,-5.72899,2,-17.4767,0
1.8,3.6,-6.02299,2,-17.64,0
1.81667,3.63333,-6.31972,2,-17.8033,0
1.83333,3.66666,-6.61916,2,-17.9667,0
1.85,3.7,-6.92133,2,-18.13,0
1.86667,3.73333,-7.22621,2,-18.2933,0
1.88333,3.76666,-7.53383,2,-18.4567,0
1.9,3.8,-7.84416,2,-18.62,0
1.91667,3.83333,-8.15721,2,-18.7833,0
1.93333,3.86666,-8.47299,2,-18.9467,0
1.95,3.9,-8.79149,2,-19.11,0
1.96667,3.93333,-9.11271,2,-19.2733,0
