Time,Pos_X,Pos_Y,Vel_X,Vel_Y,Angle
0,0,20,5,0,0
0.0166667,0.0798611,19.9973,4.79167,-0.1635,0.00520833
0.0333333,0.159722,19.9918,4.79167,-0.327,0.0104167
0.05,0.239583,19.9837,4.79167,-0.4905,0.015625
0.0666667,0.319444,19.9727,4.79167,-0.654,0.0208333
0.0833333,0.399306,19.9591,4.79167,-0.8175,0.0260417
0.1,0.479167,19.9428,4.79167,-0.981,0.03125
0.116667,0.559028,19.9237,4.79167,-1.1445,0.0364583
0.133333,0.638889,19.9019,4.79167,-1.308,0.0416667
0.15,0.71875,19.8774,4.79167,-1.4715,0.046875
0.166667,0.798611,19.8501,4.79167,-1.635,0.0520833
0.183333,0.878472,19.8202,4.79167,-1.7985,0.0572917
0.2,0.958333,19.7875,4.79167,-1.962,0.0625
0.216667,1.03819,19.752,4.79167,-2.1255,0.0677084
0.233333,1.11806,19.7139,4.79167,-2.289,0.0729167
0.25,1.19792,19.673,4.79167,-2.4525,0.078125
0.266667,1.27778,19.6294,4.79167,-2.616,0.0833334
0.283333,1.35764,19.5831,4.79167,-2.7795,0.0885417
0.3,1.4375,19.534,4.79167,-2.943,0.09375
0.316667,1.51736,19.4823,4.79167,-3.1065,0.0989584
0.333333,1.59722,19.4277,4.79167,-3.27,0.104167
0.35,1.67708,19.3705,4.79167,-3.4335,0.109375
0.366667,1.75694,19.3106,4.79167,-3.597,0.114583
0.383333,1.83681,19.2479,4.79167,-3.7605,0.119792
0.4,1.91667,19.1825,4.79167,-3.924,0.125
0.416667,1.99653,19.1144,4.79167,-4.0875,0.130208
0.433333,2.07639,19.0435,4.79167,-4.251,0.135417
0.45,2.15625,18.97,4.79167,-4.4145,0.140625
0.466667,2.23611,18.8937,4.79167,-4.578,0.145833
0.483333,2.31597,18.8146,4.79167,-4.7415,0.151042
0.5,2.39583,18.7329,4.79167,-4.905,0.15625
0.516667,2.4757,18.6484,4.79167,-5.0685,0.161458
0.533333,2.55556,18.5612,4.79167,-5.232,0.166667
0.55,2.63542,18.4713,4.79167,-5.3955,0.171875
0.566667,2.71528,18.3786,4.79167,-5.559,0.177083
0.583333,2.79514,18.2833,4.79167,-5.7225,0.182292
0.6,2.875,18.1852,4.79167,-5.886,0.1875
0.616667,2.95486,18.0843,4.79167,-6.0495,0.192708
0.633333,3.03472,17.9808,4.79167,-6.213,0.197917
0.65,3.11458,17.8745,4.79167,-6.3765,0.203125
0.666667,3.19445,17.7655,4.79167,-6.54,0.208333
0.683333,3.27431,17.6538,4.79167,-6.7035,0.213542
0.7,3.35417,17.5393,4.79167,-6.867,0.21875
0.716667,3.43403,17.4222,4.79167,-7.0305,0.223958
0.733333,3.51389,17.3023,4.79167,-7.194,0.229167
0.75,3.59375,17.1796,4.79167,-7.3575,0.234375
0.766667,3.67361,17.0543,4.79167,-7.521,0.239583
0.783333,3.75347,16.9262,4.79167,-7.6845,0.244792
0.8,3.83334,16.7954,4.79167,-7.848,0.25
0.816667,3.9132,16.6619,4.79167,-8.0115,0.255208
0.833333,3.99306,16.5256,4.79167,-8.175,0.260417
0.85,4.07292,16.3867,4.79167,-8.3385,0.265625
0.866667,4.15278,16.245,4.79167,-8.502,0.270833
0.883333,4.23264,16.1005,4.79167,-8.6655,0.276042
0.9,4.3125,15.9534,4.79167,-8.829,0.28125
