Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,-5,0,0,0,0
0,1,Circle,-5.91667,-0.002725,0,5,-0.1635,0
0,2,Circle,5.91667,-0.002725,0,-5,-0.1635,0
0,3,Circle,0,1.99727,0,0,-0.1635,0
1,0,Box,0,-5,0,0,0,0
1,1,Circle,-5.83333,-0.008175,0,5,-0.327,0
1,2,Circle,5.83333,-0.008175,0,-5,-0.327,0
1,3,Circle,0,1.99182,0,0,-0.327,0
2,0,Box,0,-5,0,0,0,0
2,1,Circle,-5.75,-0.01635,0,5,-0.4905,0
2,2,Circle,5.75,-0.01635,0,-5,-0.4905,0
2,3,Circle,0,1.98365,0,0,-0.4905,0
3,0,Box,0,-5,0,0,0,0
3,1,Circle,-5.66667,-0.02725,0,5,-0.654,0
3,2,Circle,5.66667,-0.02725,0,-5,-0.654,0
3,3,Circle,0,1.97275,0,0,-0.654,0
4,0,Box,0,-5,0,0,0,0
4,1,Circle,-5.58333,-0.040875,0,5,-0.8175,0
4,2,Circle,5.58333,-0.040875,0,-5,-0.8175,0
4,3,Circle,0,1.95912,0,0,-0.8175,0
5,0,Box,0,-5,0,0,0,0
5,1,Circle,-5.5,-0.057225,0,5,-0.981,0
5,2,Circle,5.5,-0.057225,0,-5,-0.981,0
5,3,Circle,0,1.94277,0,0,-0.981,0
6,0,Box,0,-5,0,0,0,0
6,1,Circle,-5.41667,-0.0763,0,5,-1.1445,0
6,2,Circle,5.41667,-0.0763,0,-5,-1.1445,0
6,3,Circle,0,1.9237,0,0,-1.1445,0
7,0,Box,0,-5,0,0,0,0
7,1,Circle,-5.33333,-0.0981,0,5,-1.308,0
7,2,Circle,5.33333,-0.0981,0,-5,-1.308,0
7,3,Circle,0,1.9019,0,0,-1.308,0
8,0,Box,0,-5,0,0,0,0
8,1,Circle,-5.25,-0.122625,0,5,-1.4715,0
8,2,Circle,5.25,-0.122625,0,-5,-1.4715,0
8,3,Circle,0,1.87737,0,0,-1.4715,0
9,0,Box,0,-5,0,0,0,0
