Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,-10,0,0,0,0
0,1,Box,-14.75,-8.00272,0,15,-0.1635,0
0,2,Box,5,4.99727,0.785,0,-0.1635,0
0,3,Box,0,-0.002725,0,0,-0.1635,0
0,4,Box,0.05,3.99728,0,0,-0.1635,0
1,0,Box,0,-10,0,0,0,0
1,1,Box,-14.5023,-8.00273,-0.000106973,14.8614,-0.000369507,-0.00641839
1,2,Box,5,4.99183,0.785,0,-0.327,0
1,3,Box,0,-0.008175,0,0,-0.327,0
1,4,Box,0.05,3.99183,0,0,-0.327,0
2,0,Box,0,-10,0,0,0,0
2,1,Box,-14.2558,-8.00273,-0.000162034,14.792,-0.000143794,-0.00330362
2,2,Box,5,4.98365,0.785,0,-0.4905,0
2,3,Box,0,-0.01635,0,0,-0.4905,0
2,4,Box,0.05,3.98365,0,0,-0.4905,0
3,0,Box,0,-10,0,0,0,0
3,1,Box,-14.0104,-8.00274,-0.000216359,14.7226,-0.000161742,-0.00325954
3,2,Box,5,4.97275,0.785,0,-0.654,0
3,3,Box,0,-0.02725,0,0,-0.654,0
3,4,Box,0.05,3.97275,0,0,-0.654,0
4,0,Box,0,-10,0,0,0,0
4,1,Box,-13.7662,-8.00274,-0.000270703,14.6532,-0.000161075,-0.00326066
4,2,Box,5,4.95913,0.785,0,-0.8175,0
4,3,Box,0,-0.040875,0,0,-0.8175,0
4,4,Box,0.05,3.95913,0,0,-0.8175,0
5,0,Box,0,-10,0,0,0,0
5,1,Box,-13.5231,-8.00274,-0.00032507,14.5839,-0.000160109,-0.00326202
5,2,Box,5,4.94278,0.785,0,-0.981,0
5,3,Box,0,-0.057225,0,0,-0.981,0
5,4,Box,0.05,3.94278,0,0,-0.981,0
6,0,Box,0,-10,0,0,0,0
6,1,Box,-13.2812,-8.00274,-0.00037946,14.5145,-0.000159141,-0.00326337
6,2,Box,5,4.9237,0.785,0,-1.1445,0
6,3,Box,0,-0.0763,0,0,-1.1445,0
6,4,Box,0.05,3.9237,0,0,-1.1445,0
7,0,Box,0,-10,0,0,0,0
7,1,Box,-13.0405,-8.00275,-0.000433872,14.4451,-0.00015817,-0.00326472
7,2,Box,5,4.9019,0.785,0,-1.308,0
7,3,Box,0,-0.0981,0,0,-1.308,0
7,4,Box,0.05,3.9019,0,0,-1.308,0
