Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,-1,0,0,0,0
0,1,Box,0,0.497278,0,0,-0.163333,0
0,2,Box,1.1,0.497278,0,0,-0.163333,0
0,3,Box,2.2,0.497278,0,0,-0.163333,0
0,4,Box,3.3,0.497278,0,0,-0.163333,0
0,5,Box,4.4,0.497278,0,0,-0.163333,0
2,0,Box,0,-1,0,0,0,0
2,1,Box,-4.03573e-10,0.497278,2.93367e-09,-9.31323e-09,-5.96046e-08,4.74975e-08
2,2,Box,1.1,0.497278,2.93367e-09,-9.31323e-09,-5.96046e-08,4.74975e-08
2,3,Box,2.2,0.497278,2.93367e-09,-9.31323e-09,-5.96046e-08,4.74975e-08
2,4,Box,3.3,0.497278,2.93367e-09,-9.31323e-09,-5.96046e-08,4.74975e-08
2,5,Box,4.4,0.497278,2.93367e-09,-9.31323e-09,-5.96046e-08,4.74975e-08
4,0,Box,0,-1,0,0,0,0
4,1,Box,-8.69234e-10,0.497278,5.09123e-09,-1.49012e-08,-5.21541e-08,6.70552e-08
4,2,Box,1.1,0.497278,5.09123e-09,-1.49012e-08,-5.21541e-08,6.70552e-08
4,3,Box,2.2,0.497278,5.09123e-09,-1.49012e-08,-5.21541e-08,6.70552e-08
4,4,Box,3.3,0.497278,5.09123e-09,-1.49012e-08,-5.21541e-08,6.70552e-08
4,5,Box,4.4,0.497278,5.09123e-09,-1.49012e-08,-5.21541e-08,6.70552e-08
6,0,Box,0,-1,0,0,0,0
6,1,Box,-1.3349e-09,0.497278,7.20223e-09,-1.30385e-08,-5.21541e-08,5.7742e-08
6,2,Box,1.1,0.497278,7.20223e-09,-1.30385e-08,-5.21541e-08,5.7742e-08
6,3,Box,2.2,0.497278,7.20223e-09,-1.30385e-08,-5.21541e-08,5.7742e-08
6,4,Box,3.3,0.497278,7.20223e-09,-1.30385e-08,-5.21541e-08,5.7742e-08
6,5,Box,4.4,0.497278,7.20223e-09,-1.30385e-08,-5.21541e-08,5.7742e-08
8,0,Box,0,-1,0,0,0,0
8,1,Box,-1.73847e-09,0.497278,9.31323e-09,-1.11759e-08,-5.21541e-08,5.7742e-08
8,2,Box,1.1,0.497278,9.31323e-09,-1.11759e-08,-5.21541e-08,5.7742e-08
8,3,Box,2.2,0.497278,9.31323e-09,-1.11759e-08,-5.21541e-08,5.7742e-08
8,4,Box,3.3,0.497278,9.31323e-09,-1.11759e-08,-5.21541e-08,5.7742e-08
