Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,0,0,0,0,0
0,1,Circle,-3,0,0,120,0,0
1,0,Box,0,0,0,0,0,0
1,1,Circle,-1.505,0,0,120,0,0
2,0,Box,0,0,0,0,0,0
2,1,Circle,1.086,0,0,120,0,0
3,0,Box,0,0,0,0,0,0
3,1,Circle,3.086,0,0,120,0,0
4,0,Box,0,0,0,0,0,0
4,1,Circle,5.086,0,0,120,0,0
5,0,Box,0,0,0,0,0,0
5,1,Circle,7.086,0,0,120,0,0
6,0,Box,0,0,0,0,0,0
6,1,Circle,9.086,0,0,120,0,0
7,0,Box,0,0,0,0,0,0
7,1,Circle,11.086,0,0,120,0,0
8,0,Box,0,0,0,0,0,0
8,1,Circle,13.086,0,0,120,0,0
9,0,Box,0,0,0,0,0,0
9,1,Circle,15.086,0,0,120,0,0
