Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,0,0,0,0,0
0,1,Box,-5,0,0,300,0,0
1,0,Box,0,0,0,0,0,0
1,1,Box,-0.399,0,0,-65.6775,-16.8645,262.681
2,0,Box,0,0,0,0,0,0
2,1,Box,-1.54163,-0.281075,4.37802,0.386154,-21.6673,12.4266
3,0,Box,0,0,0,0,0,0
3,1,Box,-1.58319,-0.642197,4.58513,3.43157,-21.0583,9.85682
4,0,Box,0,0,0,0,0,0
4,1,Box,-1.574,-0.993168,4.74941,3.92709,-20.9591,5.24284
5,0,Box,0,0,0,0,0,0
5,1,Box,-1.55655,-1.34249,4.83679,4.0153,-20.9415,3.6747
6,0,Box,0,0,0,0,0,0
6,1,Box,-1.53762,-1.69151,4.89804,4.04831,-20.9349,2.80836
7,0,Box,0,0,0,0,0,0
7,1,Box,-1.51815,-2.04043,4.94484,4.06382,-20.9318,2.26975
8,0,Box,0,0,0,0,0,0
8,1,Box,-1.49842,-2.38929,4.98267,4.0723,-20.9301,1.90358
9,0,Box,0,0,0,0,0,0
9,1,Box,-1.47855,-2.73813,5.0144,4.07743,-20.9291,1.63876
10,0,Box,0,0,0,0,0,0
10,1,Box,-1.45859,-3.08694,5.04171,4.08076,-20.9284,1.43844
11,0,Box,0,0,0,0,0,0
11,1,Box,-1.43858,-3.43575,5.06569,4.08305,-20.9279,1.28166
12,0,Box,0,0,0,0,0,0
12,1,Box,-1.41853,-3.78455,5.08705,4.08468,-20.9276,1.15564
13,0,Box,0,0,0,0,0,0
13,1,Box,-1.39845,-4.13334,5.10631,4.08589,-20.9274,1.05216
14,0,Box,0,0,0,0,0,0
14,1,Box,-1.37835,-4.48213,5.12384,4.08681,-20.9272,0.965663
15,0,Box,0,0,0,0,0,0
15,1,Box,-1.35824,-4.83092,5.13994,4.08753,-20.927,0.892295
16,0,Box,0,0,0,0,0,0
16,1,Box,-1.33812,-5.1797,5.15481,4.0881,-20.9269,0.829279
17,0,Box,0,0,0,0,0,0
17,1,Box,-1.31798,-5.52849,5.16863,4.08856,-20.9268,0.77457
18,0,Box,0,0,0,0,0,0
18,1,Box,-1.29784,-5.87727,5.18154,4.08893,-20.9268,0.726629
19,0,Box,0,0,0,0,0,0
19,1,Box,-1.27769,-6.22605,5.19365,4.08924,-20.9267,0.684272
